subject_id,model_name,roc_auc,f1_seizure,recall_seizure,precision_seizure,accuracy
sub-090,Fused_EEG_ECG,0.9998382352941176,0.9847956232138245,0.9806666666666667,0.9893247863247864,0.9920601527193393
sub-091,ECG_Only,0.6830952380952381,0.41673770673770677,0.4928571428571428,0.381691685221097,0.7383594120436227
sub-091,EEG_Only,1.0,0.9733333333333333,0.9619047619047619,1.0,0.9927927927927928
sub-091,Fused_EEG_ECG,1.0,0.9733333333333333,0.9619047619047619,1.0,0.9927927927927928
sub-092,ECG_Only,0.6234921664145067,0.038765619451752185,0.062037037037037036,0.02836369369651103,0.851937984496124
sub-092,EEG_Only,0.9894007598051441,0.9411286385899389,0.9703703703703703,0.9186363636363636,0.9934108527131783
sub-092,Fused_EEG_ECG,0.9926900967629309,0.9106436024702279,0.9398148148148148,0.8917676767676768,0.9903100775193798
sub-094,ECG_Only,0.7507446415373245,0.37122740005092947,0.37757575757575756,0.37318255818255813,0.7487430869783811
sub-094,EEG_Only,0.9941278640059128,0.917456520088099,0.9090909090909091,0.9308210308210308,0.9673705379587733
sub-094,Fused_EEG_ECG,0.9886474501108647,0.9106881939147385,0.9024242424242425,0.9258715358715359,0.964756158873806
sub-099,ECG_Only,0.9094017094017094,0.5142857142857143,0.6666666666666666,0.4822222222222222,0.8133333333333332
sub-099,EEG_Only,0.972079772079772,0.8126984126984127,0.8555555555555556,0.8388888888888889,0.9422222222222222
sub-099,Fused_EEG_ECG,0.9764957264957265,0.8326984126984127,0.8555555555555556,0.8944444444444444,0.9511111111111111
sub-100,ECG_Only,0.9407222222222222,0.5333333333333333,0.5,0.711111111111111,0.9505641025641026
sub-100,EEG_Only,1.0,0.9511111111111111,1.0,0.9222222222222223,0.9922051282051283
sub-100,Fused_EEG_ECG,1.0,0.9866666666666667,1.0,0.9777777777777777,0.9974358974358974
sub-101,ECG_Only,0.7863076923076924,0.04444444444444444,0.03333333333333333,0.06666666666666667,0.9259259259259259
sub-101,EEG_Only,0.8529230769230769,0.4555555555555556,0.6,0.42777777777777776,0.9407407407407408
sub-101,Fused_EEG_ECG,0.8813846153846153,0.4755555555555555,0.6,0.46111111111111114,0.945679012345679
sub-102,ECG_Only,0.9191919191919191,0.5777777777777777,0.6666666666666666,0.5333333333333333,0.9252136752136751
sub-102,EEG_Only,0.9772727272727272,0.5666666666666667,0.8,0.4666666666666667,0.9106837606837607
sub-102,Fused_EEG_ECG,0.9772727272727272,0.6222222222222221,0.8,0.5444444444444444,0.9367521367521368
